source	target	type
australia	Australia	grepl
singapore	Singapore	grepl
japan	Japan	grepl
new zealand	New Zealand	grepl
hong kong	Hong Kong	grepl
south korea	South Korea	grepl
cntrymissing	Missing country indicator	grepl
malaysia	Malaysia	grepl
thailand	Thailand	grepl
taiwan	Taiwan	grepl
china	China	grepl
indonesia	Indonesia	grepl
philippines	Philippines	grepl
india	India	grepl
vietnam	Vietnam	grepl
netherlands	The Netherlands	gsub
^usa	USA	gsub
Usa	USA	gsub
othercountry	Other country	gsub
^country	Country	gsub
gdppercap2010	GDP per capita	gsub
ln_hdi2010_mc	Log Human Development Index	gsub
hdi2010	Human Development Index	gsub
llen	line length	gsub
wpswdst	distribution	gsub
rwpspr	price	gsub
nov6sh	new product activity	gsub
nov12sh	new product activity	gsub
^fe	Country fixed effect	gsub
airqual	Quality of air transport infrastructure	gsub
electricityqual	Quality of electricity supply	gsub
fixedphone	Number of fixed telephone lines (per 100 population)	gsub
mobilephone	Number of mobile cell phone subscriptions (per 100 population)	gsub
overall_infra	Quality of overall infrastructure	gsub
portqual	Quality port infrastructure	gsub
railroadqual	Quality of railroad infrastructure	gsub
roadqual	Quality of roads	gsub
washing	Washing machines	gsub
tv_gen2_lcd	LCD TV	gsub
tv_gen1_crtv	CRT TV	gsub
tablets	Tablets	gsub
phones_smart	Smart phones	gsub
phones_mobile	Mobile phones	gsub
microwave	Microwaves	gsub
laptop	Laptop computers	gsub
dvd	DVD players and recorders	gsub
desktoppc	Desktop computers	gsub
cooling	Refrigerators	gsub
camera_slr	DSLR cameras	gsub
camera_compact	Compact cameras	gsub
category	Category	gsub
cattype	Category type	gsub
ncountries	Number of countries with data	gsub
exemplary_brand_names	Top 5 brands	gsub
welast	Weighted elasticity	grepl
melast	Mean elasticity	grepl
[_]z	Meta-analytic z	grepl
^tval	t-value	gsub
^pval	p-value	gsub
comb[_]t	t-value	grepl
ttest[_]t	t-value from t-test^2^	grepl
wls[_]t	t-value from WLS^3^	grepl
re[_]t	t-value from RE^4^	grepl
mmixinstr	Marketing-mix instrument	gsub
Neffects	Number of estimates	grepl
.*[_]sig	sig.	gsub
[*] developed	     x developed country	grepl
[*] emerging	     x emerging country	grepl
[*] gcifactor	     x GCI component score	grepl
necessity	Appliance (vs. electronics)	gsub
appliance	Appliance (vs. electronics)	gsub
western[_]brand	Western brand	grepl
ln_market_growth_mc	Log of category growth	gsub
^market_growth	Category growth	gsub
ln_herf_mc	Log of category concentration	gsub
^herf	Category concentration	gsub
ln_overall[_]ms[_]mc	Log of brand-level market share	gsub
^overall[_]ms	Brand-level market share	grepl
ln_overall[_]prindex[_]mc	Log of price index	gsub
ln_overall[_]prindexavg[_]mc	Log of price index	gsub
^overall[_]prindex	Price index	grepl
local_to_market	Domestic (vs. foreign) brand	grepl
sbbelt|sbbelt[_]mc	Brand equity (long-term, not standardized)	gsub
sbbe[_]std|sbbe[_]std[_]mc	Brand equity	gsub
sbbe|sbbe[_]mc	Brand equity (short-term, not standardized)	gsub
active_in_countries	Number of countries with data	gsub
active_in_categories	Number of categories with data 	gsub
headquarter_location	Location of headquarter	gsub
headquarter_region	Region of headquarter	gsub
median_elast	Median elasticity	gsub
w_elast	Weighted elasticity	gsub
win_elast	Winsorized elasticity	gsub
win1_elast	Winsorized elasticity (1 percent)	gsub
win5_elast	Winsorized elasticity (5 percent)	gsub
N_brands	Number of effects	gsub
perc_positive	%-positive and significant	gsub
perc_negative	%-negative and significant	gsub
perc_null	%-insignificant	gsub
Northamerica	North America	gsub
nbrands	Number of brands	gsub
^emerging	Emerging country indicator	grepl
^developed	Developed country indicator	grepl
country[_]of[_]origin	Country of origin	gsub
Country[_]of[_]origin	Country of origin	gsub
asian[_]brand	Asian brand	gsub
gci[_]overall	Global Competitiveness Index	grepl
gci[_]sub[_]basicrequire	Subindex basic requirements	grepl
gci[_]sub[_]efficiencyenhance	Subindex efficiency enhancers	grepl
gci[_]sub[_]innovation	Subindex innovation and sophistication factors	grepl
all[_]brands	List of brands	gsub
other[_]brand	Brand from other country	gsub
brandz	BrandZ listing indicator	gsub
gcifactor[_]mc|gcifactor	GCI component (score from PCA)	grepl
ln[_]gci[_]00.03[_]gdppercap_s[_]mc	Log GDP per capita	gsub
gci[_]00.03[_]gdppercap_s[_]mc|gci[_]00.03[_]gdppercap[_]s	GDP per capita	gsub
ln[_]gci[_]overall[_]s[_]mc	Log global competitiveness index	gsub
variable	Variable	gsub
